"","date","Kigoma","Songea","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Musoma","Mtwara","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","GilgilKwetu","Tema","Dodoma","Mbeya","Pokuase","Tamale","Babile","Begoro","Lake Manyara","Same"
"1",1981-01-01,7,8,0,0,0,0,0,0,0,NA,6,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,12,0
"2",1981-01-02,27,3,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0
"3",1981-01-03,9,2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,10,0,0,13,0,0,0,0,14,0
"4",1981-01-04,4,8,0,0,0,0,0,0,0,NA,2,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,6,0
"5",1981-01-05,26,17,0,0,0,1,0,0,0,NA,1,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,17,0
"6",1981-01-06,3,18,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,2,0,0,0,5,3,0,0,0,0,11,4
"7",1981-01-07,9,4,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,2,0,0,0,4,7,0,0,0,0,148,0
"8",1981-01-08,5,4,0,0,0,0,0,0,0,NA,2,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,13,0
"9",1981-01-09,0,3,0,0,0,0,0,0,0,NA,5,0,0,0,0,0,2,0,0,0,8,9,0,0,0,0,7,0
"10",1981-01-10,0,4,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,2,6,0,0,0,0,11,0
"11",1981-01-11,0,8,0,2,0,3,0,0,6,NA,0,1,1,1,0,0,5,2,0,0,0,2,2,0,0,0,8,0
"12",1981-01-12,3,2,3,1,1,4,0,0,1,NA,0,0,4,0,2,0,3,0,0,0,0,1,0,0,0,1,0,0
"13",1981-01-13,13,0,0,3,1,1,0,0,9,NA,0,0,1,0,3,0,4,0,0,0,0,2,0,0,0,1,0,0
"14",1981-01-14,8,0,1,1,3,0,9,0,2,NA,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
"15",1981-01-15,8,0,0,1,2,1,0,0,2,NA,0,0,1,3,0,0,8,1,0,0,0,0,1,0,0,0,0,0
"16",1981-01-16,31,0,0,0,0,0,0,0,0,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",1981-01-17,5,0,0,0,0,0,0,0,0,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"18",1981-01-18,1,1,0,0,0,0,0,0,0,NA,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"19",1981-01-19,10,2,0,0,0,0,0,0,0,NA,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1981-01-20,43,14,0,0,0,0,0,0,0,NA,11,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0
"21",1981-01-21,5,4,0,0,0,0,0,0,0,NA,7,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
"22",1981-01-22,20,1,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8,0
"23",1981-01-23,0,9,0,0,0,0,0,0,0,NA,6,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,4,0
"24",1981-01-24,18,2,0,0,0,0,0,0,0,NA,2,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,4,0
"25",1981-01-25,11,5,0,0,0,0,0,0,0,NA,7,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0
"26",1981-01-26,28,17,0,9,0,5,0,0,8,NA,13,9,9,1,7,0,2,3,0,1,0,2,3,0,0,0,0,0
"27",1981-01-27,28,5,4,0,0,4,0,0,1,NA,8,0,8,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
"28",1981-01-28,12,6,0,0,0,0,0,0,0,NA,9,0,0,3,0,0,17,0,0,0,0,2,0,0,0,0,0,0
"29",1981-01-29,2,12,0,0,0,0,0,0,0,NA,10,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0
"30",1981-01-30,7,10,0,0,0,0,0,0,0,NA,11,0,0,0,0,0,0,0,1,0,13,4,0,0,0,0,16,0
"31",1981-01-31,3,6,0,0,1,1,0,0,0,NA,6,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,13,0
"32",1981-02-01,0,3,1,1,1,3,0,0,3,NA,14,0,1,0,0,0,3,1,0,0,6,0,1,0,0,0,8,0
"33",1981-02-02,26,2,0,2,1,1,0,0,1,NA,10,0,1,1,1,0,4,0,0,0,0,7,0,0,0,0,0,0
"34",1981-02-03,25,9,0,3,1,2,0,0,4,NA,7,2,3,1,2,0,3,1,0,0,2,2,1,0,0,0,1,0
"35",1981-02-04,12,11,0,5,1,0,0,0,6,NA,2,1,1,2,5,0,3,1,0,0,5,3,1,0,0,0,2,0
"36",1981-02-05,2,6,0,1,1,0,0,0,0,NA,5,0,0,1,0,0,2,1,0,0,0,9,1,0,0,0,0,0
"37",1981-02-06,6,10,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0
