"","date","...1","Kigoma","Songea","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Mtwara","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","GilgilKwetu","Tema","Dodoma","Mbeya","Tamale","Babile","Begoro","Lake Manyara","Same"
"1",1981-01-01,120,122,81,4,8,7,11,9,0,20,17,2,7,6,6,0,34,4,10,1,26,79,0,0,2,247,4
"2",1981-01-16,345,221,88,4,9,0,9,0,0,9,110,9,17,4,7,0,25,3,2,1,16,51,0,0,0,42,0
"3",1981-01-31,570,106,109,20,22,25,14,10,0,24,90,11,20,9,17,0,36,8,4,2,60,42,0,1,2,138,3
"4",1981-02-15,795,106,117,39,56,62,29,38,2,60,48,31,45,12,53,0,54,19,36,4,58,44,0,0,22,257,13
"5",1981-03-02,1020,246,38,73,75,85,64,100,69,88,28,60,71,38,69,2,65,47,101,29,1,18,8,17,50,42,4
"6",1981-03-17,1245,240,203,48,83,80,42,55,36,99,149,65,57,49,71,45,106,61,248,36,120,186,13,10,44,291,122
"7",1981-04-01,1470,136,8,10,20,18,18,39,30,26,8,27,29,19,29,4,40,5,225,5,68,47,1,4,20,365,132
"8",1981-04-16,1695,284,77,61,69,105,51,85,57,95,54,74,79,48,66,69,94,40,257,28,4,18,47,55,52,56,9
"9",1981-05-01,1920,336,21,81,132,118,135,139,56,152,46,133,141,108,149,93,127,97,181,100,8,21,60,41,131,207,6
"10",1981-05-16,2145,119,1,50,94,93,121,77,30,125,6,113,119,137,99,28,202,86,45,77,0,0,28,47,73,11,3
"11",1981-05-31,2370,37,1,38,59,61,77,50,30,79,1,62,88,121,60,19,129,57,33,58,0,0,17,42,42,0,1
"12",1981-06-15,2595,1,0,49,90,99,99,113,49,124,0,85,110,116,77,63,136,88,52,88,0,0,58,54,60,8,0
"13",1981-06-30,2820,0,0,64,85,97,82,78,66,123,0,103,114,59,94,75,71,62,113,40,0,0,79,70,81,2,0
"14",1981-07-15,3045,0,0,39,35,47,20,36,63,52,2,36,50,16,41,139,23,21,139,26,0,0,167,86,43,1,0
"15",1981-07-30,3270,3,1,21,27,25,13,45,49,53,0,32,33,30,31,144,31,15,65,4,0,0,140,88,27,0,0
"16",1981-08-14,3495,53,0,12,17,18,17,42,68,24,1,17,26,11,20,82,62,8,78,6,0,0,83,88,24,5,0
"17",1981-08-29,3720,33,2,30,50,58,51,47,45,69,2,80,123,26,69,62,42,20,97,15,0,0,50,80,55,3,1
"18",1981-09-13,3945,3,0,49,75,73,56,97,75,130,1,105,104,15,89,112,43,34,112,13,0,0,94,51,69,6,24
"19",1981-09-28,4170,80,6,57,65,91,51,90,22,99,0,71,73,17,70,41,44,31,124,11,3,3,21,17,53,46,6
"20",1981-10-13,4395,153,24,40,69,96,72,51,10,120,8,64,104,48,77,8,80,39,71,27,0,8,0,13,47,26,9
"21",1981-10-28,4620,64,39,36,50,74,55,30,0,73,6,52,58,29,32,0,54,38,59,16,0,11,0,0,12,63,1
"22",1981-11-12,4845,65,0,1,17,12,10,2,0,20,21,7,13,11,10,0,29,12,45,8,0,0,0,0,2,20,2
"23",1981-11-27,5070,222,110,11,29,20,25,1,0,35,81,20,27,17,20,0,40,24,40,15,51,72,0,0,3,115,13
"24",1981-12-12,5295,292,37,8,24,16,18,1,0,34,59,19,26,28,16,0,48,24,107,16,18,55,0,0,1,340,25
"25",1981-12-27,5520,68,88,5,21,11,24,1,0,35,65,17,21,13,15,0,32,18,11,12,61,74,0,0,5,238,7
"26",1982-01-11,5745,76,95,23,52,29,47,15,0,52,38,32,50,36,48,0,90,27,52,17,65,89,0,0,18,280,4
"27",1982-01-26,5970,105,81,2,16,11,8,0,0,22,72,10,14,9,14,0,31,9,2,6,76,40,0,0,4,258,2
"28",1982-02-10,6195,81,90,55,60,115,38,79,52,85,13,49,68,26,76,71,69,28,28,24,79,35,50,52,50,440,9
"29",1982-02-25,6420,169,158,52,63,48,53,21,17,64,96,49,77,29,49,15,69,38,4,29,26,82,37,23,23,94,3
"30",1982-03-12,6645,201,86,115,122,87,102,128,61,118,94,101,139,54,96,39,88,83,3,52,41,79,31,56,62,84,4
"31",1982-03-27,6870,344,113,56,85,91,80,114,64,101,123,84,101,44,86,29,70,50,84,32,23,75,51,21,62,120,14
"32",1982-04-11,7095,263,58,53,69,84,74,72,82,98,55,98,90,58,83,51,93,46,250,34,21,130,58,83,78,178,10
"33",1982-04-26,7320,427,64,60,87,92,84,117,58,106,30,83,97,90,79,57,107,74,336,65,7,60,52,30,65,144,18
"34",1982-05-11,7545,277,4,35,66,74,71,57,29,100,26,68,78,76,67,22,104,55,114,36,0,17,32,19,50,46,8
"35",1982-05-26,7770,89,6,53,90,112,110,65,37,136,1,110,103,130,101,28,155,86,82,68,0,0,32,64,91,23,0
"36",1982-06-10,7995,11,6,39,54,87,50,39,21,80,26,76,69,90,72,49,110,67,57,54,11,1,30,28,57,2,9
"37",1982-06-25,8220,17,3,65,92,116,72,58,34,156,9,108,124,96,110,77,106,75,42,42,0,0,41,33,99,0,3
"38",1982-07-10,8445,5,5,48,51,83,35,57,67,95,8,61,79,27,68,67,65,25,70,8,0,0,40,73,75,1,3
"39",1982-07-25,8670,1,3,12,13,27,7,24,56,26,2,15,17,1,20,49,12,5,53,0,0,0,37,81,21,0,2
"40",1982-08-09,8895,1,5,14,26,13,7,26,32,30,2,26,32,5,34,77,10,14,87,6,0,0,50,97,28,0,0
"41",1982-08-24,9120,7,7,16,34,24,10,51,56,47,1,56,50,1,69,125,23,3,112,0,0,0,80,99,76,0,0
"42",1982-09-08,9345,15,4,18,19,32,2,41,51,44,2,30,28,5,38,59,15,4,82,2,0,0,76,54,38,29,1
"43",1982-09-23,9570,91,36,27,35,47,28,82,40,63,22,54,63,6,54,71,23,7,48,6,0,3,64,33,56,4,6
"44",1982-10-08,9795,200,7,31,60,73,45,69,21,91,62,68,88,38,58,33,76,41,162,19,0,2,19,31,45,107,10
"45",1982-10-23,10020,169,47,41,56,76,43,62,42,88,8,61,83,79,65,26,99,34,122,22,1,52,36,32,41,371,5
"46",1982-11-07,10245,248,114,15,33,34,22,25,0,56,65,38,46,22,30,0,43,20,135,10,6,99,0,0,9,362,24
"47",1982-11-22,10470,126,154,2,9,6,5,0,0,13,65,9,6,15,7,0,34,8,123,4,104,213,0,0,0,265,110
"48",1982-12-07,10695,132,50,2,10,10,4,3,0,14,42,3,15,7,4,0,15,6,54,5,12,73,0,0,0,474,3
"49",1982-12-22,10920,105,114,8,23,7,14,27,0,21,296,11,16,16,17,0,37,14,7,6,128,99,0,0,4,574,0
"50",1983-01-06,11145,148,107,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,14,0,29,125,0,0,0,464,19
"51",1983-01-21,11370,120,68,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,25,0,37,50,0,0,0,349,3
"52",1983-02-05,11595,62,67,7,13,17,1,23,21,25,78,6,8,4,11,0,17,1,71,0,68,41,0,12,3,111,21
"53",1983-02-20,11820,218,118,7,11,22,5,5,1,13,86,6,15,7,7,0,21,5,0,1,31,59,0,0,0,195,1
"54",1983-03-07,12045,176,94,2,12,14,5,4,0,11,67,8,8,2,14,0,10,3,48,1,19,111,0,0,5,134,1
"55",1983-03-22,12270,320,121,43,39,47,20,80,25,53,108,30,28,27,44,72,70,12,26,3,7,84,64,10,31,72,8
"56",1983-04-06,12495,390,75,40,28,39,8,32,33,39,102,30,31,9,44,21,35,8,26,4,9,30,12,17,29,77,4
"57",1983-04-21,12720,318,33,45,29,52,12,70,60,43,71,37,25,28,36,35,60,11,165,11,1,7,35,51,28,84,15
"58",1983-05-06,12945,181,16,50,43,55,28,54,59,53,51,42,48,63,53,26,89,21,61,19,0,0,40,32,37,6,13
"59",1983-05-21,13170,76,14,37,79,97,78,39,27,126,46,88,82,98,82,57,127,44,20,38,2,0,31,33,54,0,4
"60",1983-06-05,13395,12,6,53,73,105,73,84,29,124,2,113,124,92,98,48,114,51,29,47,0,0,48,39,92,0,0
"61",1983-06-20,13620,1,8,31,35,50,30,28,30,57,13,47,34,39,37,30,41,32,93,39,0,0,16,27,30,12,3
"62",1983-07-05,13845,0,2,26,30,42,22,50,53,45,2,41,49,13,39,80,33,14,32,11,0,0,112,62,40,0,0
"63",1983-07-20,14070,35,3,11,15,29,8,21,27,33,7,13,21,5,19,65,21,2,75,0,0,0,39,19,12,0,2
"64",1983-08-04,14295,91,3,5,7,10,11,21,31,16,0,6,15,5,11,75,12,4,57,1,0,2,39,34,10,0,1
"65",1983-08-19,14520,0,1,8,5,11,4,44,49,23,0,13,21,8,15,67,8,4,116,0,0,0,51,34,18,0,0
"66",1983-09-03,14745,2,1,26,51,64,36,77,71,83,2,64,107,26,59,89,41,24,119,16,0,0,88,82,50,1,0
"67",1983-09-18,14970,4,1,50,80,114,49,66,69,131,7,120,152,18,85,82,55,27,143,3,0,0,83,63,54,5,1
"68",1983-10-03,15195,79,1,15,27,31,11,10,3,40,3,26,30,6,28,9,26,5,259,0,0,0,1,0,11,43,0
"69",1983-10-18,15420,85,24,15,48,50,39,42,17,91,12,54,73,14,49,2,37,18,140,8,1,38,1,5,24,30,3
"70",1983-11-02,15645,35,1,14,25,54,41,31,3,60,3,30,40,41,22,0,48,25,107,18,0,0,0,0,9,29,1
"71",1983-11-17,15870,84,26,17,42,31,39,35,0,51,24,30,41,38,32,0,50,33,92,15,9,77,1,0,13,676,7
"72",1983-12-02,16095,118,77,40,56,39,77,79,7,74,35,52,66,55,47,8,90,44,58,26,43,57,7,0,24,291,4
