"","date","...1","Kigoma","Songea","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Mtwara","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","GilgilKwetu","Tema","Dodoma","Mbeya","Tamale","Babile","Begoro","Lake Manyara","Same"
"1",1981-01-01,28,85,60,0,0,0,1,0,0,0,10,0,0,2,0,0,8,1,10,1,9,53,0,0,0,208,4
"2",1981-01-08,77,29,21,4,7,5,9,9,0,18,7,2,6,1,6,0,18,2,0,0,17,26,0,0,2,39,0
"3",1981-01-15,126,103,21,0,1,2,1,0,0,2,43,0,1,3,0,0,9,1,0,0,1,20,0,0,0,8,0
"4",1981-01-22,175,117,45,4,9,0,9,0,0,9,46,9,17,4,7,0,24,3,1,1,0,16,0,0,0,18,0
"5",1981-01-29,224,75,53,1,11,5,7,0,0,14,60,3,9,4,8,0,18,3,1,0,28,27,0,0,0,40,0
"6",1981-02-05,273,25,40,6,9,9,7,2,0,8,23,4,7,3,5,0,13,5,3,2,31,24,0,0,0,47,0
"7",1981-02-12,322,41,76,24,10,22,1,16,0,8,36,8,10,4,11,0,14,1,37,0,58,20,0,1,3,296,16
"8",1981-02-19,371,40,57,26,37,37,23,28,2,38,18,19,30,8,35,0,30,16,0,4,16,11,0,0,18,27,0
"9",1981-02-26,420,92,22,2,18,23,10,7,0,26,32,18,18,6,17,0,30,8,0,4,0,19,0,0,8,1,0
"10",1981-03-05,469,70,33,25,17,25,23,43,62,23,10,18,21,16,20,1,22,12,3,8,1,18,7,17,19,30,1
"11",1981-03-12,518,208,23,58,59,61,38,55,7,70,26,36,42,28,45,1,52,39,113,22,2,14,1,0,26,54,4
"12",1981-03-19,567,128,104,16,35,31,17,16,12,36,112,21,19,17,27,20,43,28,150,13,41,68,5,1,16,209,36
"13",1981-03-26,616,32,83,23,42,40,24,41,29,51,19,43,38,24,44,25,43,24,88,19,89,129,8,9,28,42,110
"14",1981-04-02,665,32,1,7,8,10,9,31,25,12,0,10,13,4,15,4,15,1,47,0,35,18,1,4,15,235,96
"15",1981-04-09,714,100,5,2,10,7,8,3,0,11,8,14,15,13,12,0,21,3,173,4,21,4,0,0,5,128,11
"16",1981-04-16,763,140,30,25,28,36,24,30,35,39,12,29,35,20,29,15,34,15,172,9,2,11,14,37,25,38,8
"17",1981-04-23,812,134,42,34,35,64,26,55,22,51,32,38,43,26,34,54,55,21,76,16,2,7,33,18,26,14,1
"18",1981-04-30,861,173,25,34,64,50,55,80,36,64,52,79,70,42,69,75,62,35,94,33,5,16,51,29,69,54,5
"19",1981-05-07,910,171,1,48,67,67,79,58,20,82,4,58,68,63,74,17,64,61,68,68,3,5,9,10,59,113,1
