"","date","Kigoma","Songea","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Musoma","Mtwara","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","GilgilKwetu","Tema","Dodoma","Mbeya","Pokuase","Tamale","Babile","Begoro","Lake Manyara","Same"
"1",1981-01-01,5.06737470626831,29.5211429595947,0,0,0,0,0,0,0,0,3.40655589103699,0,0,0,0,0,0,0,0,0,3.08838295936584,14.4833917617798,0,0,0,0,9.45703220367432,0
"2",1981-01-02,14.3471994400024,8.27695465087891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1981-01-03,0,0,0,0,0,0,0,0,0,7.19492292404175,0,0,0,0,0,0,0,0,8.31762886047363,0,0,0,0,0,0,0,0,0
"4",1981-01-04,0,0,0,0.953105032444,1.92977678775787,4.00441360473633,0,0,1.17434632778168,0,9.01317691802979,2.90287280082703,4.2716212272644,0,0.645908057689667,0,0,1.15675389766693,0,1.67678904533386,0,0,1.50528109073639,0,0,1.06542897224426,6.15432024002075,0
"5",1981-01-05,0,0,0,0,0,0,0,0,0,7.56579637527466,0,0,0,0,0,0,0,0,0,0,2.3919825553894,0,0,0,0,0,9.23148059844971,6.42777395248413
"6",1981-01-06,0,0,0,0,0,0,0,0,0,10.4355983734131,0,0,0,0,0,0,0,0,0,0,9.28008842468262,0,0,0,0,0,0,14.4866170883179
"7",1981-01-07,10.7496547698975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95627450942993,0,0,0,0,0,25.3800716400146,0
"8",1981-01-08,4.46565246582031,14.7879705429077,0,0,0,0,0,0,0,6.22578382492065,0,0,0,6.36665201187134,0,0,6.61912965774536,0,0,0,10.8755187988281,0,1.8062310218811,0,0,0,0,7.14408588409424
"9",1981-01-09,3.7704017162323,17.8127822875977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44438695907593,0,0,0,0,0,0
"10",1981-01-10,5.66897249221802,0,0,0,0,0,0,0,0,0,9.53823947906494,0,0,0,0,0,0,0,0,0,0,7.45709037780762,0,0,0,0,0,0
