"","date","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","Tema","Pokuase","Tamale","Babile","Begoro"
"1",1981-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1981-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1981-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1981-01-04,0,0.953105032444,1.92977678775787,4.00441360473633,0,0,1.17434632778168,2.90287280082703,4.2716212272644,0,0.645908057689667,0,0,1.15675389766693,1.67678904533386,1.50528109073639,0,0,1.06542897224426
"5",1981-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1981-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1981-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1981-01-08,0,0,0,0,0,0,0,0,0,6.36665201187134,0,0,6.61912965774536,0,0,1.8062310218811,0,0,0
"9",1981-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1981-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",1981-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",1981-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",1981-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1981-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",1981-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",1981-01-16,0,0,0,0,0,0.00421623792499304,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",1981-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",1981-01-18,0,1.76364231109619,0,0,0,0,0,1.85734844207764,2.44601202011108,0,1.5091301202774,0,0,0,0,0,0,0,1.88494098186493
"19",1981-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1981-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",1981-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",1981-01-22,0,3.33739161491394,0,2.81281971931458,0,0,1.06947255134583,3.02003049850464,0,0,2.68081903457642,0,0,0,0,0,0,0,2.66286158561707
"23",1981-01-23,0,0,0,2.61611938476562,0,0,0,0,3.54819703102112,0,0,0,0,0,0,0,0,0,0
"24",1981-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",1981-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",1981-01-26,0,0,0,0,0,0,2.78220415115356,0,11.3310527801514,0.891828715801239,0,0,1.60727286338806,0,0,0,0,0,6.24693441390991
"27",1981-01-27,0,6.19867753982544,3.61997008323669,0,0,0,6.03200626373291,5.94514608383179,0,2.4057354927063,6.23777389526367,0,4.33566856384277,4.3868408203125,4.41706562042236,6.73531150817871,0,0,0
"28",1981-01-28,0,0,0,0,0,0,0,0,0,1.54143238067627,0,0,2.77800250053406,0,0,0,0,0,0
"29",1981-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",1981-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",1981-01-31,0,0,0,8.18366050720215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",1981-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",1981-02-02,0,0,0,0,0,0,0,0,0,0.8680659532547,0,0,1.8111310005188,0,0,0.804659962654114,0,0,0
"34",1981-02-03,0,2.07258296012878,1.20997714996338,0.843987226486206,0.496297776699066,0,1.34462296962738,1.69473433494568,0.697007954120636,0,2.577556848526,0,0,1.63319611549377,2.01363396644592,1.11886036396027,0,0,1.23410308361053
"35",1981-02-04,6.33430194854736,1.2034353017807,1.33997464179993,1.13694167137146,0,0,1.06365716457367,0.984039306640625,2.09102368354797,0.716854572296143,1.4966459274292,0,1.49564385414124,0,0,0.697371900081635,0,0,3.96018147468567
"36",1981-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",1981-02-06,7.46564054489136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",1981-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",1981-02-08,0,0,0,0,2.06670689582825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",1981-02-09,0,0.979805052280426,1.5554792881012,0,0,0,3.31404376029968,0.777071893215179,0,0.940078258514404,1.19445145130157,0,0,0.385482251644135,0,1.33723330497742,0,0,0
"41",1981-02-10,0,2.75570106506348,1.7809112071991,2.24651980400085,0,0,4.09381914138794,2.18551445007324,3.80766010284424,1.27003931999207,3.35939431190491,0,5.26289367675781,1.54192900657654,2.49422216415405,1.91908299922943,0,0,5.38548898696899
"42",1981-02-11,0,0,0,0,2.63191056251526,0,0,0,0,0,0,0,0,0.752218425273895,0.954400241374969,1.17322421073914,0,0,0
"43",1981-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",1981-02-13,0,0,0,0.868142783641815,0,0,1.28035819530487,0,0,4.18123912811279,0,0,0,0.56416380405426,0.715800166130066,0,0.891302585601807,0,0
"45",1981-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",1981-02-15,9.60665035247803,3.27132225036621,8.96325206756592,0.898603975772858,0,0,6.06569623947144,2.9277617931366,4.12431192398071,5.8072772026062,4.53130674362183,0,17.3767681121826,0.324821561574936,0.412127315998077,1.47928273677826,0,0,5.816819190979
"47",1981-02-16,1.35863566398621,4.66260814666748,7.85785865783691,1.95960164070129,0,0,9.78737354278564,4.20637893676758,4.80871486663818,0,6.6384596824646,0,0,3.12606310844421,3.92502474784851,3.78361296653748,0,0,5.94563722610474
"48",1981-02-17,0,0,0,0,3.91851353645325,0,0,0,1.20798635482788,0,0,0,0,0,0,1.01318502426147,0,0,2.41541504859924
"49",1981-02-18,0.653888821601868,0,3.30492281913757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92246890068054
"50",1981-02-19,1.99799382686615,3.8101646900177,9.72987842559814,1.95960164070129,1.95925676822662,0,8.53258323669434,3.43734550476074,2.55535578727722,0,5.42477989196777,0,0,1.00194311141968,1.25802052021027,2.94456839561462,0,0,6.44110727310181
"51",1981-02-20,3.53826546669006,8.42110919952393,14.3752584457397,6.74288034439087,3.91851353645325,0,16.7562923431396,7.59711694717407,14.2170715332031,0,11.9896821975708,1.13288033008575,10.2084789276123,3.68715119361877,4.62951612472534,5.03426218032837,2.15987968444824,0,14.4512023925781
"52",1981-02-21,0.235842496156693,4.4999303817749,5.45762825012207,3.03760075569153,0,0.935430824756622,7.05066299438477,3.57479810714722,2.83138871192932,1.74875009059906,5.26632118225098,0,3.32436227798462,3.71513295173645,4.2419581413269,4.39541864395142,0,0,6.33798933029175
"53",1981-02-22,0.474901020526886,7.13065958023071,10.2981405258179,4.06295108795166,1.36311030387878,0,13.1050367355347,5.66468095779419,6.54148530960083,2.31905317306519,8.34509372711182,0,4.40850496292114,2.2568564414978,2.57689070701599,4.56519889831543,0,0,8.86862564086914
"54",1981-02-23,0,0,2.66131711006165,0,1.4176344871521,0,0,0,0,0.902754962444305,0,0,1.71613109111786,0,0,0.697984993457794,0,0,0
"55",1981-02-24,0.394500195980072,0,6.03617572784424,0,0,0.935430824756622,1.11124575138092,0,2.07472467422485,0,0,0,0,0,0,0,0,0,1.48190402984619
"56",1981-02-25,0,0,2.75774145126343,0,0,0,2.41408562660217,0,0,0,0,0,0,0,0,0,0,0,1.8010835647583
"57",1981-02-26,0,0,0,0,0,1.15753662586212,0,0,0,0,0,0.57232391834259,0,0,0,0,0,0,0
"58",1981-02-27,0,3.35174179077148,3.37883710861206,2.08656620979309,0,0.62909597158432,3.71060943603516,2.38781380653381,2.54424834251404,1.07015538215637,3.41911625862122,0.57232391834259,2.3157331943512,1.54735255241394,1.62026691436768,2.60804557800293,0,0,3.01696586608887
"59",1981-02-28,3.43861699104309,0,4.34421920776367,0,0.841446578502655,0,2.71203589439392,0,0,0,0,0.57232391834259,0,0,0,0,0,0,1.52036070823669
"60",1981-03-01,0,0,0,0,0,0,0,0,0.423621743917465,0,0,0,0,0,0,1.26934278011322,0,0,0
"61",1981-03-02,1.27520728111267,0.826126575469971,5.5304856300354,0,0,0,3.17161154747009,0.836764395236969,0,1.02017176151276,1.1245368719101,0,2.09830093383789,2.40103387832642,2.5065541267395,2.14475154876709,0,0,0
"62",1981-03-03,2.66873264312744,5.02374172210693,4.32487773895264,1.084721326828,0,4.19075393676758,3.39900994300842,5.0884313583374,5.97306680679321,1.32072007656097,6.8383994102478,0,2.71647262573242,0,0,0,0.554531812667847,0,2.42745041847229
"63",1981-03-04,3.61527872085571,12.4142236709595,9.45349502563477,1.52538931369781,5.67931985855103,6.48890972137451,13.643913269043,12.5740795135498,10.9294404983521,1.30802094936371,16.8984432220459,1.16991209983826,2.69035243988037,2.88124012947083,3.00786471366882,3.545405626297,0.346582323312759,1.40913319587708,34.9214820861816
"64",1981-03-05,5.6266884803772,0.558193445205688,5.76012563705444,1.38979911804199,6.2217264175415,0,4.09317398071289,0.565381228923798,0.55070823431015,1.46464490890503,0.759822010993958,2.72979474067688,3.01249861717224,0.480206787586212,0.501310765743256,2.05721092224121,1.66359543800354,2.04964828491211,2.41976833343506
"65",1981-03-06,0.849194347858429,0,0,0,17.6305809020996,33.1214904785156,1.46821320056915,0,1.91070973873138,0,0,2.80747246742249,0,0,0,0,2.3090033531189,0,1.63335013389587
"66",1981-03-07,3.97955799102783,0,2.34379506111145,0,7.31116962432861,1.06461954116821,1.73926758766174,0,3.10490298271179,0,0,0,0,0,0,0,0.529146611690521,2.23998355865479,4.58728122711182
