"","date","Same","Kigoma","Songea","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Musoma","Mtwara","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","GilgilKwetu","Tema","Dodoma","Mbeya","Pokuase","Tamale","Babile","Begoro","Lake Manyara","K"
"1",1983-01-11,1.5,57.3,123.6,0,0,0,0,0,0,0,43.4,82.5,0,0,0,0,0,0,0,2.6,0,80.1,88.7,0,0,0,0,106.2,34.2000005245209
"2",1983-01-26,0,27.6,5.1,0,0,0,0,0,0.3,0,2,78.4,0,0,0,0,0,0,0,9.6,0,0.2,45.5,0,0,0,1.5,0.8,82.6999998092652
"3",1983-02-10,105.7,86.5,112,34,0,0,9.1,0,0,0,14,119.2,27,0,70.9,0,0,8.2,0,24.2,0,64.2,73.7,0,0,16,14.6,34.2,62.3000001907349
"4",1983-02-25,0,56.3,112.5,0,0,0,0,0,0,16.3,4.7,124.5,0.5,7.7,0,0,0,0,0,0,0,8.1,60,0,0,0,0.6,0.9,81.9000005722046
"5",1983-03-12,56.7,53.9,123.8,42.9,0,0,7.6,0,0,17.5,56.9,194.8,22.9,0,6.6,0,0,4.1,4.3,8.7,0,97.2,73.9,0,0,0,37.5,55.9,73.1000002622604
"6",1983-03-27,4.9,75.8,69.8,83.9,37.7,88.7,40.2,7.4,101.5,25.9,37.4,43.9,32,31,53.5,30.7,83.5,43.6,117.1,9.4,21.3,25.7,36.8,28.6,123.1,0,84,26.1,115.299998283386
"7",1983-04-11,3.1,42.6,30.2,23.3,0,2.5,62.3,0,0,65.5,90.2,50.8,8.9,35.1,143.6,19.6,3.5,79.9,29.2,33.5,22.9,0,35.5,0,6.6,4.8,21.3,35.5,90.0000009536744
"8",1983-04-26,49,95.6,16.3,13.2,20.6,6.6,46.3,27.2,47.2,27.3,158.5,50.6,31,147.9,107.3,9.4,70.9,71.2,119,128.4,54.8,7.3,21.9,60.2,43,15.5,119,67,89.3000006675721
"9",1983-05-11,55,8,1.3,80.4,5.6,7.8,0,74.9,85.1,74.2,51.5,174.4,28,224.3,66.3,36.9,84.1,124,46.3,24.9,12.1,1,0.7,7.4,117.4,72.4,91.8,60.9,0
"10",1983-05-26,29.6,3.1,13.1,151.6,65.2,102.6,78,129.1,30.5,107.1,3.5,76.7,50.8,289.6,86,54.4,104,142.3,94.4,22.9,64.2,0,2.2,41,40.9,31.5,99.9,12.7,0
"11",1983-06-10,5.4,4,0,102.7,114.2,149.1,75.8,78.5,50.5,99.9,12.3,32.4,65.2,52.5,110.2,131.3,78.9,59.8,137.4,55.9,107.6,0,0,112.8,36.5,65.3,82.5,5.5,0
"12",1983-06-25,0,0,0.4,28.3,0.8,5.1,54.1,3.8,32.2,8.9,41,24.3,28.7,14,14.5,0,64.6,19.5,13.6,62.7,0,0,0,0,51.2,33.9,23.3,4.6,0
"13",1983-07-10,0,2.7,0,5.9,1,7.4,86.4,13,45.7,7.7,8.6,0,4.5,19.5,29.6,40.9,71.1,1.3,35.7,59.5,0,0,0,2.1,52.7,52.2,32,2.1,0
"14",1983-07-25,0,0,0,2.8,2.1,0,0.5,1.3,43.1,0,34,2.6,2,0,2.5,0,22.3,0,0.5,29.2,0,0,0,0,16.9,33.3,12.2,5.7,1.10000002384186
"15",1983-08-09,0,29.1,0,1.8,5.1,0,1.3,5.2,72.9,13.8,27,3.4,3.6,8.1,3.3,0.3,6.4,0,5.8,52.6,0,0,0.4,0,41.5,32.8,6.8,2.3,0.5
"16",1983-08-24,0,5.6,0,99.4,43.5,13.2,91.8,4.7,64,44.4,6,0.7,48.9,28.8,40.1,0.9,97.5,20.6,24.6,60.1,44.8,0,0,43.1,102.4,96.8,49.6,0,0
"17",1983-09-08,0,0,0,16.5,0.5,28.2,82.6,5.9,96.1,15.8,40.6,0,3.3,24.9,22.9,7.8,87.5,62.4,20.9,67,0,0,0,11.6,79.3,104.1,51.2,3,0
"18",1983-09-23,1.7,9.7,0,40.9,17.1,57.6,70.1,53,27.4,191.2,55.4,1.2,85.3,77.5,85.4,113.5,9.7,108.1,112.1,46.2,2.5,0,3,43.1,80.3,3.1,101,5.8,0
"19",1983-10-08,0.1,94,0,20.5,0,34.8,69,0,8,30.3,39.5,7.6,73.4,21.1,24.5,69.1,2.7,62.4,138.8,72.1,0,0,0.1,15.4,0.3,0,56.2,0,36.3999996185303
"20",1983-10-23,3.1,23.8,26.5,4.3,0.3,18,11.3,14.5,8.7,64.5,23.3,23.5,25.6,71.5,23.3,53.6,0,20.6,44.6,31.6,0,0,3.1,9.8,0,1.8,8.1,16,44.6000003814697
"21",1983-11-07,19.1,27.5,25.2,29,1.6,2.1,16.5,0,0,27.7,34.2,5.1,67.1,8.33,59.6,43.4,0,0.3,22.6,68.6,0,14.1,13.7,15.4,0,0,41.7,20.3,26.3999996185303
"22",1983-11-22,7.5,44.2,16.8,39.1,3.5,43.7,37.8,11.4,32.5,31.5,27.1,24.3,19,17.31,25.5,20.3,45.6,20.2,60.5,20.2,0,6.2,7.7,49.3,0,0,45.4,22.5,54.0999994277954
"23",1983-12-07,45.3,89,101.8,85.5,13.5,8.1,25.7,3.3,16.3,76.7,17.3,3.5,17.8,10.5,27.5,1,0.4,0.3,22.8,25.2,0,110.9,84.9,0,0,0,48.3,38.2,64.8999989032746
