"","date","Same","Kigoma","Songea","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Musoma","Mtwara","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","GilgilKwetu","Tema","Dodoma","Mbeya","Pokuase","Tamale","Babile","Begoro","Lake Manyara","K"
"1",1983-01-11,1.5,47.7,53.4,0,0,0,0,0,0,0,1.3,60.7,0,0,0,0,0,0,0,0,0,76,34.3,0,0,0,0,47.4,10.6000003814697
"2",1983-01-18,0,9.6,70.2,0,0,0,0,0,0,0,42.1,19.1,0,0,0,0,0,0,0,1.1,0,3.7,34.8,0,0,0,0,58.8,22.4000000953674
"3",1983-01-25,0,12.6,5.1,0,0,0,0,0,0,0,0,16.1,0,0,0,0,0,0,0,6.1,0,0.6,50.2,0,0,0,0,0,29.2000000476837
"4",1983-02-01,0,15,0,0,0,0,0,0,0,0,2,35.1,0,0,0,0,0,0,0,5,0,0,14.8,0,0,0,1,0.8,51.099999666214
"5",1983-02-08,32.1,24.6,56.4,8.4,0,0,0,0,0.3,0,0.3,53.2,0,0,0,0,0,0,0,17.8,0,35.3,48.8,0,0,16,4,1.6,32.0000002384186
"6",1983-02-15,73.6,58,54.5,25.6,0,0,9.1,0,0,0,13.5,87.2,27,0,70.9,0,0,8.2,0,6.4,0,28.9,24.1,0,0,0,11.1,32.6,24.0999999046326
"7",1983-02-22,0,10.3,21.8,0,0,0,0,0,0,16.3,0.2,23.8,0.5,0.8,0,0,0,0,0,0,0,3.8,3.4,0,0,0,0.6,0.9,43.9999995231628
"8",1983-03-01,0,42.9,25.6,0,0,0,0,0,0,0,4.7,54.1,0,6.9,0,0,0,0,0,0,0,4.3,20.9,0,0,0,0,0,44.2000012397766
"9",1983-03-08,51.5,22.4,83.9,0,0,0,0,0,0,0,0,138.2,0,0,0,0,0,0,0,1.8,0,39.7,45.5,0,0,0,0,1.2,21.0000003576279
"10",1983-03-15,0,23.4,94,42.9,0,0,7.6,0,0,8.6,46.9,97.6,22.9,0,0,0,0,4.1,0,6.9,0,57.5,42.4,0,0,0,37.4,40.1,33.7999997138977
"11",1983-03-22,5.8,15.9,18.4,2.8,0,3.3,5.6,0,0,8.9,10,17,0,0.8,16,0,0,8.5,4.3,0.5,0,0,33.3,0,0,0,6.3,31.6,21.8000001907348
"12",1983-03-29,4.3,31.5,55.9,34.8,19.8,1.8,2.3,5.1,101.5,3.8,30.6,5.5,17.8,24.3,1.9,8.1,83.5,29.9,71.6,1.3,21.3,25.7,15.3,15,123.1,0,59.3,8.7,70.1999998092651
"13",1983-04-05,0,43.5,7.6,46.3,17.9,83.6,32.3,2.3,0,22.1,7.3,43.6,14.2,5.9,42.2,42.2,0,33.3,45.5,7.6,22.9,0,16.4,13.6,0,0.8,18.9,0.4,45.0999984741211
"14",1983-04-12,3.1,30.5,12.5,6.1,0,0,14.8,0,0,2,73.7,5.4,8.1,3,43,0,0,11.5,3.5,8.4,0,0,21.7,0,0,0,6.3,9.2,49.7000007629395
"15",1983-04-19,0,12.1,17.7,17.2,0,2.5,47.5,0,0,63.5,16,37.5,0.8,32.1,100.6,0,3.5,40.3,25.7,25.1,0,0,8.2,0,6.6,4,14.6,26.3,40.3000001907349
"16",1983-04-26,33.5,76,3.7,1.3,19.3,0.2,35.1,25.4,8.1,12.8,98,0.4,1.5,145.8,64.7,3.3,55,22.2,107.1,92.3,54.8,0,9,32.8,0.3,11.7,28.3,42.5,61.9000010490418
"17",1983-05-03,15.2,19.6,0.6,11.9,0,0,0,0.8,39.1,0,53.7,50.2,0,1.8,20.3,0,15.9,49,0,32,0,6.1,6.7,0,5.6,3.8,90.2,24.5,27.3999996185303
