"","date","Kigoma","Songea","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Musoma","Mtwara","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","GilgilKwetu","Tema","Dodoma","Mbeya","Pokuase","Tamale","Babile","Begoro","Lake Manyara","Same"
"1",1981-01-01,72,162.6,0.4,0,0,0,0,0,0,28.3,0.1,0,0,0,0,0,0,0,0.5,0,3.1,38.1,0,0,0,0,64.3,19
"2",1981-01-16,45.5,148.5,5.8,2,5.1,39.4,40.9,0,3.6,13.4,12.8,3.6,0.3,5.8,0,0,0,0.5,0.3,1.5,23.3,58.7,16.4,0,0,2.5,4.1,4.4
"3",1981-01-31,93.7,116.3,25.9,0,20,39.2,12,0,93.5,0.5,25.2,97.3,67.6,27.8,0,0,0,11.4,0.8,0,54.9,103,41.4,0,0,3.1,37.6,1
"4",1981-02-15,132.1,155.5,17.3,0,20.2,15.9,0,17.5,45.7,35.2,51.7,6.9,77,92.5,0,0,1,33.7,21.4,0,53.8,140.3,0,0,0,9.1,24.5,0.5
"5",1981-03-02,94.9,51.1,86.8,16.5,13,39.6,7.1,41.4,39.9,68.1,52.6,82.3,45,12.7,0,14.2,73.1,114.6,24.2,20.3,0,29.4,9.4,16.1,15.3,84.1,8.2,5.8
"6",1981-03-17,99.9,80.5,148,22.8,41.4,82.3,59.5,114.2,19.3,262.3,78.1,84.6,45.2,74.4,0,22.3,156.6,83.4,127.6,46.2,144.3,68.7,23.6,7.8,7.7,72.1,281.6,178.5
"7",1981-04-01,115.7,3,30.5,4.3,11.4,55.9,0,20.5,61.9,141.7,98.6,8.9,4.1,56.8,37.9,0,50.5,12.8,122.2,7.4,43.5,8.8,4.6,3.6,2,11.7,171.2,110.3
"8",1981-04-16,53.4,102.1,45.9,19.1,40.9,17.5,46.5,46.7,58.1,52.4,56.3,32,131,41.8,0,104.7,55.9,29.6,56.6,50.6,0,10.5,25.8,63.2,61.6,28.4,31.9,27.9
"9",1981-05-01,140.1,9.9,120.7,66.8,128.8,115.8,169,106,186.3,97.5,68.4,132.9,168.7,202.4,10.5,100.6,80.5,112.3,106.2,61,4.3,4.1,154.1,74.8,84.2,130.4,41.2,49.8
"10",1981-05-16,0,1,59.6,73.4,18.9,162.8,194.6,71.9,70.5,21,92.2,75.7,297.2,102.8,21.6,48.3,42.2,57.6,29.2,71.7,0,5.7,30.8,75.7,68.6,67.3,10.4,41.5
