"","date","Kigoma","Songea","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Musoma","Mtwara","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","GilgilKwetu","Tema","Dodoma","Mbeya","Pokuase","Tamale","Babile","Begoro","Lake Manyara","Same"
"1",1981-01-01,45,52.1,0,0,0,0,0,0,0,28.3,0.1,0,0,0,0,0,0,0,0,0,0,19.2,0,0,0,0,64.3,19
"2",1981-01-08,27,110.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,18.9,0,0,0,0,0,0
"3",1981-01-15,35.1,37.1,0.9,0,0,0,39.6,0,0,10.4,0,0,0,0,0,0,0,0,0.5,0,0.5,4.8,0,0,0,0,0,0
"4",1981-01-22,3.8,102.8,4.9,2,5.1,39.4,1.3,0,3.6,3,12.8,3.6,0.3,5.8,0,0,0,0.5,0.3,1.5,18.3,33.2,16.4,0,0,2.5,0,0.4
"5",1981-01-29,33,62,0.3,0,5.9,0,0,0,0,0,3,0,31,0,0,0,0,0,0,0,9.6,61.1,0,0,0,0,9.1,4
"6",1981-02-05,47.3,55.9,10.1,0,11.8,17.8,3.4,0,85.4,0,12.2,15.2,36.6,18.9,0,0,0,4.3,0,0,49.8,52.5,41.4,0,0,0,0.3,0
"7",1981-02-12,65.5,81,16.2,0,12.4,21.4,8.6,0,11.4,21.2,33.1,89,6.7,8.9,0,0,1,11.9,21.9,0,19.8,109.6,0,0,0,3.6,44.8,1.5
"8",1981-02-19,79.3,52.5,11,0,9.3,6.4,0,17.5,33.8,14.5,18.9,0,16.4,90.2,0,0,0,28.4,0.3,0,34,38.9,0,0,0,8.6,12,0
"9",1981-02-26,23.6,29,51.6,0,9.7,30.8,0,33.5,35.8,0,15.9,13.2,57.7,5.1,0,0,50.6,39.2,0,8.9,0,1.9,0,6.7,0,3.3,0.5,0
"10",1981-03-05,71.8,30.6,40.1,0,3.3,14.2,6.6,6.3,11.4,53.5,45.8,8.1,36.6,8.4,0,10.2,22.5,65.7,2.8,8.2,0,29.4,2,9.4,15.3,76.2,6.4,0.5
"11",1981-03-12,34,40.1,0.7,16.8,2.1,4.1,4.8,1.6,1.3,35.8,0.6,61,6.7,1.5,0,4,0,10.2,28,6.2,0,12.9,7.4,0,0,5.6,3.4,7.4
"12",1981-03-19,44.9,44.8,58.4,7.2,12.7,10.4,0.8,46.2,11.7,170.6,36.1,11.2,16.4,11.2,0,0,100.7,11.5,43.2,8.3,71.7,39.2,0,0,3.1,15.7,179.6,90.1
"13",1981-03-26,29.5,16.1,89.6,15.3,27.4,71.9,54.4,68,7.6,88.5,44,73.4,26.7,68.3,0,22.3,55.9,71.9,83.4,34.9,73.8,17.5,23.6,7.8,4.6,55.4,109.2,88.1
"14",1981-04-02,33.2,0,12.3,4.3,11.4,52.8,0,20.5,11.2,47.4,44.3,8.9,0,21.5,37.9,0,48.8,2.1,15.6,7.4,40.6,5.4,4.6,3.6,0,9.9,101.2,70.5
"15",1981-04-09,80.8,3,18.2,0,0,3.1,0,0,50.7,76.3,52.3,0,4.1,30.2,0,0,1.7,10.7,101,0,1.7,2.5,0,0,2,1.8,60.7,38
"16",1981-04-16,18.6,62.4,21.3,13.5,40.1,15,26.4,33,44.7,4.5,55.3,29.2,87.4,33.1,0,68.3,46.3,27.8,45.9,18.3,0,10.5,20,32.9,19.6,5.3,9.4,13.1
"17",1981-04-23,34.5,21.4,24.6,5.6,0.8,2.5,20.1,13.7,13.4,45.6,1,2.8,41.1,8.7,0,36.4,9.6,1.8,8.4,32.3,0,0,5.8,30.3,42,23.1,22.1,13.9
"18",1981-04-30,39.1,28.2,64.2,30.3,40.6,87.1,53.1,64.3,52.9,34.6,4.8,72.9,75.7,87.1,1.6,8.9,66.8,40,23,18.1,3.8,4.1,53.9,9.8,0,86.4,28.8,50
"19",1981-05-07,101.3,0,56.5,35,88.2,28.7,115.9,41.7,133.4,44.7,33.1,60,95.5,115.3,8.9,91.7,13.7,72.3,45.1,41.9,0.5,0,100.2,65,84.2,27.7,11.2,0.7
"20",1981-05-14,0,1,22.8,34.8,4.4,56.7,49.3,7.6,7.3,39.9,63,5.9,47.7,1.5,16.7,8,32.6,6.2,69.6,20.5,0,5.7,4.5,43.3,21.6,31.1,11.5,41.2
"21",1981-05-21,0,0,36.8,40.1,12.2,106.1,137.4,47.8,63.2,1.6,40,69.8,248.5,101.3,4.9,13.3,8.8,50.4,0,51.9,0,0,26.3,13.6,38.9,52,0.5,0.3
"22",1981-05-28,0,0,3.1,2.3,32.8,14.2,10.4,22.3,34.8,17.1,19.7,29.5,1.3,8.9,0,27,1.9,15.5,4.3,1.4,0,0,0,18.8,8.1,4.3,1.9,0
