Accra.KIA,Akatsi,Akim.Oda,Akuse,Asamankese,Axim,Babile,Begoro,Bole,Dodoma,GilgilKwetu,Ho,Kigoma,Koforidua,Kumasi,Lake Manyara,Mbeya,Mtwara,Musoma,Nsawam,Pokuase,Same,Songea,Takoradi,Tamale,Tema,Wenchi,Yendi,date
2.0,0.0,5.8,5.1,3.6,0.3,0.0,2.5,0.0,26.4,0.8,39.4,122.1,0.5,6.2,73.39999999999999,102.2,12.9,41.699999999999996,3.6,16.4,23.4,317.0,40.9,0.0,1.5,0.0,0.0,1981-01
0.0,0.0,118.8,40.2,133.1,117.39999999999999,0.0,12.2,17.5,108.7,22.2,55.1,221.2,45.099999999999994,43.2,57.1,237.9,67.2,35.7,104.2,41.4,1.5,265.9,12.0,0.0,0.0,1.0,0.0,1981-02
39.3,0.0,88.6,54.4,65.3,117.39999999999999,23.0,156.2,155.6,144.3,151.8,121.89999999999999,194.8,198.0,234.8,289.8,98.1,140.4,330.4,166.9,33.0,184.3,131.6,66.6,23.9,66.5,229.70000000000002,36.5,1981-03
23.4,37.9,98.6,52.3,120.0,135.1,63.6,40.1,67.2,43.5,178.8,73.39999999999999,169.1,42.4,76.4,203.1,19.3,154.9,194.1,40.9,30.400000000000002,138.2,105.1,46.5,66.8,58.0,106.39999999999999,104.7,1981-04
140.20000000000002,32.1,305.2,147.70000000000002,256.8,465.90000000000003,152.79999999999998,197.7,183.7,4.3,139.7,278.6,140.1,169.89999999999998,180.3,51.6,9.8,160.6,126.0,208.6,184.9,91.3,10.9,363.59999999999997,150.5,132.7,123.1,148.9,1981-05
144.6,17.0,184.7,320.4,242.3,517.5,84.5,149.7,132.9,0.0,97.1,89.5,4.1,212.8,95.60000000000001,2.3,0.6,70.7,15.200000000000001,246.7,240.7,0.0,0.0,354.5,154.9,206.6,60.9,153.2,1981-06
84.0,9.700000000000001,179.9,98.7,155.9,76.6,205.1,271.2,160.2,0.0,187.89999999999998,101.8,2.2,167.3,210.6,5.0,0.0,113.8,44.1,117.5,120.0,0.0,0.0,49.9,226.7,141.0,141.70000000000002,304.0,1981-07
56.9,3.5999999999999996,59.9,48.9,91.10000000000001,23.599999999999998,189.5,163.4,182.29999999999998,0.0,148.6,105.0,13.3,108.4,123.0,10.0,0.0,13.2,17.2,80.39999999999999,39.199999999999996,10.399999999999999,0.6,23.5,291.6,26.0,147.4,262.0,1981-08
98.8,0.5,294.6,189.8,119.5,111.89999999999999,154.8,187.2,301.3,0.2,79.2,120.4,14.3,145.6,356.7,20.400000000000002,0.5,4.1,49.0,91.0,47.900000000000006,7.7,0.0,73.1,145.6,68.0,238.7,228.4,1981-09
68.0,7.1,334.9,113.7,149.4,74.3,29.5,204.0,63.800000000000004,0.0,125.7,319.8,102.3,117.60000000000001,111.0,89.5,10.9,5.9,38.3,105.5,97.1,98.0,5.6,84.8,39.1,35.900000000000006,251.29999999999998,81.8,1981-10
12.2,0.0,54.5,130.0,35.3,74.9,0.0,22.900000000000002,0.0,3.2,37.3,50.0,101.4,27.5,25.2,67.10000000000001,32.3,0.2,47.5,91.3,91.10000000000001,22.299999999999997,42.1,34.9,0.0,9.399999999999999,12.6,0.0,1981-11
0.3,0.0,35.4,7.4,1.3,96.7,0.0,67.0,0.0,81.30000000000001,28.9,0.0,171.3,14.7,20.1,222.3,105.5,6.6,45.9,7.3,6.7,79.6,189.7,27.0,0.0,1.1,0.0,0.0,1981-12
17.8,1.8,0.0,8.4,30.700000000000003,32.0,0.0,0.0,0.0,109.0,8.5,43.4,149.4,4.3,33.6,128.5,181.3,20.900000000000002,54.9,44.2,3.5,0.0,277.7,11.2,0.0,0.8,0.0,0.0,1982-01
18.6,0.0,144.9,75.8,122.7,46.5,32.8,50.9,20.400000000000002,55.400000000000006,3.3,137.2,71.7,147.0,42.6,105.5,115.4,50.7,43.7,116.80000000000001,52.7,3.8,181.3,29.900000000000002,10.7,8.9,23.0,36.8,1982-02
74.39999999999999,110.8,154.5,85.8,276.6,60.300000000000004,40.9,149.8,85.8,34.2,0.5,104.0,78.5,168.6,70.0,99.8,171.1,55.1,80.2,154.20000000000002,181.3,28.599999999999998,241.7,68.0,67.6,104.1,129.7,79.60000000000001,1982-03
114.5,24.6,108.69999999999999,123.4,148.5,307.1,66.7,122.19999999999999,88.2,103.10000000000001,175.6,51.400000000000006,203.9,160.6,181.6,283.2,92.7,114.9,228.70000000000002,127.8,37.1,81.1,55.4,182.0,239.8,93.5,168.9,131.8,1982-04
170.1,41.8,92.5,102.3,129.5,614.6,52.6,136.5,124.1,0.0,108.39999999999999,93.39999999999999,128.8,100.1,217.2,218.4,15.7,359.3,224.6,90.0,135.9,156.8,62.300000000000004,334.0,134.8,108.9,118.7,103.8,1982-05
278.0,0.0,211.5,147.3,140.1,573.6,195.0,256.1,134.0,0.0,34.4,179.70000000000002,12.4,204.6,150.6,40.2,2.3,117.2,59.2,226.5,124.8,29.0,0.0,244.0,147.8,288.9,63.1,61.5,1982-06
60.8,0.0,63.0,119.2,157.9,302.09999999999997,227.39999999999998,209.6,195.4,0.0,96.3,99.1,2.1,95.0,149.9,16.1,0.0,65.7,23.5,102.30000000000001,82.8,24.0,0.0,83.69999999999999,78.4,87.2,144.20000000000002,111.1,1982-07
2.3,0.0,63.9,75.2,42.0,27.2,201.5,79.2,195.7,0.0,103.3,34.5,2.4,58.599999999999994,92.7,25.900000000000002,0.0,35.0,43.0,20.6,2.1,11.1,0.0,8.2,107.89999999999999,0.8,65.0,181.5,1982-08
0.3,0.5,1.4,12.0,3.8,12.1,108.3,54.0,218.9,0.0,96.3,47.5,7.5,33.4,183.0,32.4,0.0,1.0,64.6,1.5,0.0,34.2,0.0,2.3,327.0,0.5,103.2,260.2,1982-09
