"","date","month","Prec_Ghana","prec_Tanz","prec_Tamsat_Ghana","prec_Tamsat_Tanz"
"1","1983-01-11","Jan",0,72.9,0,31.3000001907349
"2","1983-01-12","Jan",0,25.4,0,11.1999998092651
"3","1983-01-13","Jan",0,5.4,0,0
"4","1983-01-14","Jan",0,24.4,0,3
"5","1983-01-15","Jan",0,14.1,0,26.4000000953674
"6","1983-01-16","Jan",0,136.5,0,28.6000000834465
"7","1983-01-17","Jan",0,43.6,0,57.8999991416931
"8","1983-01-18","Jan",0,39.6,0,32.200000166893
"9","1983-01-19","Jan",0,23.7,0,50.1999986171721
"10","1983-01-20","Jan",0,6.3,0,25.8999993801117
"11","1983-01-21","Jan",0,70.8,0,38.2000002861023
"12","1983-01-22","Jan",0,35,0,32.4000005722046
"13","1983-01-23","Jan",0,40.1,0,28.4000002145767
"14","1983-01-24","Jan",0,22.8,0,5.39999997615814
"15","1983-01-25","Jan",0,22.7,0,10.5999999046326
"16","1983-01-26","Jan",0,24.3,0,12.6999998092651
"17","1983-01-27","Jan",0,15.2,0,24
"18","1983-01-28","Jan",0,9.6,0,24
"19","1983-01-29","Jan",0,2.1,0,7.30000019073486
"20","1983-01-30","Jan",0,10.7,0,0
"21","1983-01-31","Jan",0,0,0,0.899999976158142
"22","1983-02-01","Feb",1,0.5,0,10.5
"23","1983-02-02","Feb",0,4.2,0,11.8000001907349
"24","1983-02-03","Feb",0,15.5,0,4
"25","1983-02-04","Feb",0,3.1,0,7.89999997615814
"26","1983-02-05","Feb",0,13.8,0,37.0999994277955
"27","1983-02-06","Feb",0,14.9,0,14.4999995231629
"28","1983-02-07","Feb",0,15.7,0,8.99999976158143
"29","1983-02-08","Feb",0,15.9,0,6.29999995231629
"30","1983-02-09","Feb",0.8,14.1,3.29999995231628,9.30000019073486
"31","1983-02-10","Feb",11,43.6,3.29999995231628,9.30000019073486
"32","1983-02-11","Feb",0,24.8,2.09999990463257,69.2000000476837
"33","1983-02-12","Feb",16,28.5,2.09999990463257,69.2000000476837
"34","1983-02-13","Feb",0.4,83.1,13.1000000238419,70.3000001907348
"35","1983-02-14","Feb",0.5,42.3,18.0000001192093,77.4000002890826
"36","1983-02-15","Feb",0.6,32.7,18.0000001192093,77.4000002890826
"37","1983-02-16","Feb",35.8,24.1,12.6000001430511,37.600000500679
"38","1983-02-17","Feb",1.2,106.3,4.19999980926514,12.3999997973442
"39","1983-02-18","Feb",29.7,42,45.7999999523163,52.2999997138977
"40","1983-02-19","Feb",20.5,113.8,46.0000002384186,60.1000003814698
"41","1983-02-20","Feb",32.7,48.4,85.9999992847442,30.0999999642372
"42","1983-02-21","Feb",31.4,5.1,0,21.5000003576279
"43","1983-02-22","Feb",0,3.9,0,25.1000006198883
"44","1983-02-23","Feb",0,8.8,0,20.0999997854232
"45","1983-02-24","Feb",0,2.1,0,31.8999993801117
"46","1983-02-25","Feb",1.1,2.5,29.2000002861023,46.0999994277954
"47","1983-02-26","Feb",17.1,6.9,0,67.3000011444092
"48","1983-02-27","Feb",0,34.5,6.5,18.7999995946884
"49","1983-02-28","Feb",0,5.5,0,36.6999998092651
"50","1983-03-01","Mar",0,25.5,0,44.0000007152558
"51","1983-03-02","Mar",0,54.2,9.80000019073486,22.4000000953674
"52","1983-03-03","Mar",0,18.5,0,28.0000004768372
"53","1983-03-04","Mar",0,16.8,0,13.7999997138977
"54","1983-03-05","Mar",0,11.4,0,15.499999821186
"55","1983-03-06","Mar",0,22.2,0,26.7000002861023
"56","1983-03-07","Mar",6.9,3.9,0,0
"57","1983-03-08","Mar",0,29.8,0,9.5
"58","1983-03-09","Mar",0,49.1,0,24.5
"59","1983-03-10","Mar",0,61.6,0,33.0999999046326
"60","1983-03-11","Mar",0,24.6,0,22.8000004291534
"61","1983-03-12","Mar",0,24.5,0,10
"62","1983-03-13","Mar",0,77.9,0,57.8000009059906
"63","1983-03-14","Mar",0,114.9,0,143.800000667572
"64","1983-03-15","Mar",0,122,0,55.7000005245209
"65","1983-03-16","Mar",0,120.5,0,82.800000667572
"66","1983-03-17","Mar",0,55.5,59.2000000476837,33.7999993562698
"67","1983-03-18","Mar",97,75.7,76.1999998092652,39.4000000953675
"68","1983-03-19","Mar",0,10.7,0,23.6999999284744
"69","1983-03-20","Mar",0,12.6,0,23.6999999284744
"70","1983-03-21","Mar",26.5,4.9,96.9000005722046,1.89999997615814
"71","1983-03-22","Mar",9,6.8,9,5.59999990463257
"72","1983-03-23","Mar",0,7.8,0,22.7000000476838
"73","1983-03-24","Mar",10.9,0.1,50.6999998092652,22.0000004768371
