"","date","Kigoma","Songea","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Musoma","Mtwara","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","GilgilKwetu","Tema","Dodoma","Mbeya","Pokuase","Tamale","Babile","Begoro","Lake Manyara","Same"
"1",1983-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1983-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1983-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1983-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1983-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1983-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1983-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1983-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1983-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1983-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1983-01-11,0,5.30000019073486,0,0,0,0,0,0,0,0,11.3000001907349,0,0,0,0,0,0,0,0,0,7.69999980926514,7,0,0,0,0,0,0
"12",1983-01-12,0,7.09999990463257,0,0,0,0,0,0,0,0,4.09999990463257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",1983-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1983-01-14,1.5,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",1983-01-15,9.10000038146973,3.59999990463257,0,0,0,0,0,0,0,7.19999980926514,0,0,0,0,0,0,0,0,0,0,0,4.09999990463257,0,0,0,0,0,2.40000009536743
"16",1983-01-16,0,5.80000019073486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7.09999990463257,0,0,0,0,0,0.699999988079071
"17",1983-01-17,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,16.7999992370605,0,0,0,0,7.40000009536743,7.19999980926514
"18",1983-01-18,5.59999990463257,7.40000009536743,0,0,0,0,0,0,0,4.90000009536743,0.600000023841858,0,0,0,0,0,0,0,0,0,2.20000004768372,11.5,0,0,0,0,0,0
"19",1983-01-19,0,17.2999992370605,0,0,0,0,0,0,0,2.5,2.29999995231628,0,0,0,0,0,0,0,0,0,9,10.1999998092651,0,0,0,0,8.89999961853027,0
"20",1983-01-20,2.79999995231628,3.29999995231628,0,0,0,0,0,0,0,0,11.3999996185303,0,0,0,0,0,0,0,0,0,2.20000004768372,6.19999980926514,0,0,0,0,0,0
"21",1983-01-21,1.20000004768372,13.3000001907349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20000004768372,21.5,0,0,0,0,0,0
"22",1983-01-22,9.30000019073486,15.1000003814697,0,0,0,0,0,0,0,0,4.09999990463257,0,0,0,0,0,0,0,0,0,0,3.90000009536743,0,0,0,0,0,0
"23",1983-01-23,3.5,5.30000019073486,0,0,0,0,0,0,0,6.09999990463257,4.09999990463257,0,0,0,0,0,0,0,0,0,1.10000002384186,3.90000009536743,0,0,0,0,4.40000009536743,0
"24",1983-01-24,0,1.79999995231628,0,0,0,0,0,0,0,0,1.39999997615814,0,0,0,0,0,0,0,0,0,2.20000004768372,0,0,0,0,0,0,0
"25",1983-01-25,1.20000004768372,6.19999980926514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20000004768372,0,0,0,0,0,0,0
"26",1983-01-26,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69999980926514,0,0,0,0,0,0,0
"27",1983-01-27,13.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"28",1983-01-28,13.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"29",1983-01-29,0,4.30000019073486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"30",1983-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",1983-01-31,0,0.899999976158142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",1983-02-01,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",1983-02-02,9.30000019073486,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,5.90000009536743,0,0,0,0,0,0,0,0,0
"34",1983-02-03,1.20000004768372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79999995231628,0,0,0,0,0,0
"35",1983-02-04,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899999976158142,0,0,0,0,0,0
"36",1983-02-05,15.8999996185303,0,0,0,0,0,0,0,0,9.80000019073486,0,0,0,0,0,0,0,0,0,0,0,11.3999996185303,0,0,0,0,0,0
"37",1983-02-06,3.59999990463257,0,0,0,0,0,0,0,0,6.69999980926514,0,0,0,0,0,0,0,0,0,0,0,4.19999980926514,0,0,0,0,0,0
"38",1983-02-07,3.59999990463257,1.20000004768372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19999980926514,0,0,0,0,0,0
"39",1983-02-08,1.20000004768372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.09999990463257,0,0,0,0,0,0
"40",1983-02-09,2.40000009536743,3.5,0,0,0,0,3.29999995231628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40000009536743,0,0,0,0,0,0
