"","date","Same","...1","Kigoma","Songea","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Musoma","Mtwara","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","GilgilKwetu","Tema","Dodoma","Mbeya","Pokuase","Tamale","Babile","Begoro","Lake Manyara","Same.1"
"1",1983-01-11,1.5,98,10.6000003814697,40.8000001907349,0,0,0,0,0,0,0,7.19999980926514,16.9000000953675,0,0,0,0,0,0,0,0,0,30.1999998092651,34.9999990463256,0,0,0,0,7.40000009536743,10.2999998927116
"2",1983-01-18,0,147,22.4000000953674,63.5,0,0,0,0,0,0,0,13.5,23.8999993801117,0,0,0,0,0,0,0,0,0,18.9000002145767,57.1999998092651,0,0,0,0,13.2999997138977,0
"3",1983-01-25,0,196,29.2000000476837,24.3999999761581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.89999985694886,17,0,0,0,0,0,0
"4",1983-02-01,0,245,51.099999666214,1.20000004768372,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,5.90000009536743,0,0,23.499999165535,0,0,0,0,0,0
"5",1983-02-08,32.1,294,32.0000002384186,61.3000011444091,8.30000019073486,0,6.80000019073486,0,9.49999999999999,1.39999997615814,5.69999980926514,7.40000009536743,50.0000014305115,0,0,0,3.09999990463257,0,0,0,17.0999994277954,0,55.7999992370606,56.499999716878,0,0,4.799999833107,2.29999995231628,31.5999994277954,16.3999996185303
"6",1983-02-15,73.6,343,24.0999999046326,49.6000003814697,31.6000006198883,17.5999999046325,27.199999332428,7.80000019073486,10.2000000476837,1.39999997615814,16.8000001907349,12.9000000953674,69.4000009894371,13.6999998092651,11.7000000476837,0,20.5999999046326,0,0,6.80000019073486,15,13.1999995708466,49.6000003218651,12.5999999791384,9.69999980926514,0,0,24.2999999523163,43.6999998092652,29.4999995231628
"7",1983-02-22,0,392,43.9999995231628,57.799998998642,0,7.40000009536743,0,0,0,0,7.59999990463257,0,82.6000007390975,6.30000019073486,0,0,7.90000009536743,0,0,3.09999990463257,0,0,9.89999985694886,51.7000006437301,3.40000009536743,0,0,0,0,0
"8",1983-03-01,0,441,44.2000012397766,45.5999999642372,0,0,0,0,0,0,0,0,11.1000003814697,0,0,0,0,5,0,0,0,0,6.59999990463256,42.8999996185302,0,0,4.80000019073486,0,0,0
"9",1983-03-08,51.5,490,21.0000003576279,66.7000004053116,0,0,0,0,0,0,0,27.5999999046326,60.6000008583068,0,0,0,0,0,0,0,6.09999990463257,0,18.7999999523162,46.6000003814698,0,0,0,0,36.2000000476837,24
"10",1983-03-15,0,539,33.7999997138977,38.4999997615815,16.8000001907349,29.3000001907349,21.4999995231629,0,5.69999980926514,0,29,37.300000667572,43.6000003814697,22.8000001907349,18.3999996185302,0,27.8000001907349,0,0,7.5,8.90000009536743,13.0000002384186,21.8000005483627,34.6999998092651,11.7999997138977,0,0,28.7000007629395,30.6000003814697,20.6999992132186
