"","date","Prec_Ghana","prec_Tanz","prec_Chirp_Tanz","prec_AgERA5_Tanz","prec_chirp_Ghana","prec_AgERA5_Ghana","month"
"1","1981-01-01",0,91.6,65.02388048172,43,0,0,"Jan"
"2","1981-01-02",0,36.8,22.6241540908813,35,0,1,"Jan"
"3","1981-01-03",0,14.1,7.19492292404175,38,0,1,"Jan"
"4","1981-01-04",0,1.3,15.1674971580505,20,21.2862968444824,5,"Jan"
"5","1981-01-05",0,12.3,25.6170334815979,77,0,2,"Jan"
"6","1981-01-06",0,61.9,34.2023038864136,44,0,2,"Jan"
"7","1981-01-07",0,10,42.086000919342,172,0,3,"Jan"
"8","1981-01-08",0,6.5,43.499011516571,37,14.7920126914978,0,"Jan"
"9","1981-01-09",0,41.2,29.0275709629059,32,0,2,"Jan"
"10","1981-01-10",0,51.8,22.6643023490906,23,0,2,"Jan"
"11","1981-01-11",0,16.2,11.4355856180191,18,0,23,"Jan"
"12","1981-01-12",0,31.9,2.91416954994202,6,0,20,"Jan"
"13","1981-01-13",0.4,11.9,0,15,0,23,"Jan"
"14","1981-01-14",0,0,0,8,0,21,"Jan"
"15","1981-01-15",0,0,2.18191242218018,8,0,20,"Jan"
"16","1981-01-16",39.6,6.1,5.30897378921509,33,0.004216237924993,0,"Jan"
"17","1981-01-17",0,17.9,18.1879391670227,17,0,0,"Jan"
"18","1981-01-18",0,28.9,21.9489281177521,16,9.46107387542724,0,"Jan"
"19","1981-01-19",0.9,1.2,37.0409655570984,18,0,0,"Jan"
"20","1981-01-20",0,31.3,34.9231200218201,76,0,1,"Jan"
"21","1981-01-21",0,2.5,17.3301267623901,28,0,0,"Jan"
"22","1981-01-22",0,60.1,7.6754732131958,30,15.5833950042725,1,"Jan"
"23","1981-01-23",0,16.3,38.9064362049103,21,6.16431641578674,1,"Jan"
"24","1981-01-24",0,75.9,30.6856880187988,29,0,1,"Jan"
"25","1981-01-25",0,2.8,37.6968145370484,29,0,1,"Jan"
"26","1981-01-26",83.3,13,16.2680826187134,60,22.8592929244042,57,"Jan"
"27","1981-01-27",3.6,3.2,21.7960567474365,44,50.3141958713531,18,"Jan"
"28","1981-01-28",0,3,11.1241493225098,29,4.31943488121033,20,"Jan"
"29","1981-01-29",0,36.7,81.034420967102,37,0,0,"Jan"
"30","1981-01-30",0,11.8,92.7008357048035,61,0,0,"Jan"
"31","1981-01-31",0,20.9,175.205936908722,28,8.18366050720215,10,"Jan"
"32","1981-02-01",33.4,31.4,19.3065721988678,31,0,15,"Feb"
"33","1981-02-02",0,17.2,17.4629586935043,45,3.48385691642761,12,"Feb"
"34","1981-02-03",0,63.7,34.6875569224358,46,16.9365607500076,23,"Feb"
"35","1981-02-04",3.8,0.1,18.7161784172058,35,22.5200714468956,26,"Feb"
"36","1981-02-05",12.7,25.6,28.3820781707764,22,0,7,"Feb"
"37","1981-02-06",5.1,10.3,19.6125855445862,27,7.46564054489136,1,"Feb"
"38","1981-02-07",21.7,43,23.8530616760254,14,0,26,"Feb"
"39","1981-02-08",83.4,20.2,21.1706204414368,16,2.06670689582825,4,"Feb"
"40","1981-02-09",32.8,42,16.3626408576965,28,10.483645260334,13,"Feb"
"41","1981-02-10",10.1,10.8,22.3659027814865,44,38.1031762361526,19,"Feb"
"42","1981-02-11",79.1,66.1,69.4187908172607,39,5.51175343990326,15,"Feb"
"43","1981-02-12",127.1,28,55.893577337265,49,0,29,"Feb"
"44","1981-02-13",28.8,38.3,54.3892502784729,76,8.50100666284561,15,"Feb"
"45","1981-02-14",1.2,14.6,56.5030078291893,48,0,14,"Feb"
"46","1981-02-15",0.3,107.6,61.8244906663894,65,71.6060014665127,8,"Feb"
"47","1981-02-16",12.5,53.4,87.5917644500733,204,58.0599691867828,10,"Feb"
"48","1981-02-17",13.5,56.8,115.445360422134,56,8.55509996414184,14,"Feb"
"49","1981-02-18",7.7,77.8,49.5701506137848,45,7.88128054141998,44,"Feb"
"50","1981-02-19",94.9,71.8,63.9228057861328,47,51.0525990724563,60,"Feb"
"51","1981-02-20",84,38.4,24.8994269371033,16,128.859560847282,131,"Feb"
"52","1981-02-21",1.4,21.3,23.9504728317261,9,56.6532151401043,37,"Feb"
"53","1981-02-22",31.5,17.2,11.9618630409241,11,81.9811890721322,65,"Feb"
"54","1981-02-23",2.3,36,21.994021654129,16,7.39582264423371,5,"Feb"
"55","1981-02-24",4.5,20.9,51.8711063861847,30,12.0339812040329,37,"Feb"
"56","1981-02-25",3,44.5,16.4920740127563,40,6.9729106426239,32,"Feb"
"57","1981-02-26",14.5,8.6,2.07247185707092,18,1.72986054420471,30,"Feb"
"58","1981-02-27",30.9,29,15.199268579483,23,34.2588723301888,46,"Feb"
"59","1981-02-28",1,0.6,7.35047221183777,26,13.4290032982826,11,"Feb"
"60","1981-03-01",34.8,9.7,24.4130401611328,37,1.69296452403068,15,"Mar"
"61","1981-03-02",17.1,4.2,7.19100189208984,35,22.9355445504189,28,"Mar"
"62","1981-03-03",119,3.5,0,20,45.6109098196029,44,"Mar"
"63","1981-03-04",128.8,15.3,0,7,144.502486377955,29,"Mar"
"64","1981-03-05",16,2.7,1.62822723388672,3,41.9042973518372,30,"Mar"
"65","1981-03-06",25.4,33.9,12.5126008987427,9,61.7300146222114,38,"Mar"
"66","1981-03-07",1,25.7,29.4523756504059,48,26.8997241854668,32,"Mar"
"67","1981-03-08",9.7,43.3,79.9308223724365,36,13.2543267011642,25,"Mar"
"68","1981-03-09",174.1,39.5,26.6417636871338,25,33.9418041110039,44,"Mar"
