"name","country","X","Y","Region"
"BUK Kano_Nigeria","Nigeria",8.4274552,11.975591,"West Region"
"IAR ZARIA_Nigeria","Nigeria",7.6161899,11.1824797,"West Region"
"Bengou Niger","Niger",3.559007,11.9801805,"West Region"
"Tarana Niger","Niger",7.1100172,13.4624528,"West Region"
"Barto Niger","Niger",8.3252391,13.2012787,"West Region"
"Kabwe Mulungushi","Zambia",28.56632,-14.29257,"South Region"
"Kalabo","Zambia",22.68175,-14.98895,"South Region"
"Lusaka Int. Airport","Zambia",28.4405,-15.31929,"South Region"
"Lusaka University of Zambia","Zambia",28.33204,-15.39117,"South Region"
"Mwinilunga","Zambia",24.431,-11.73998,"South Region"
"Samfya","Zambia",29.56057,-11.37119,"South Region"
"Serenje","Zambia",30.21508,-13.2267,"South Region"
"Zambezi","Zambia",23.1079,-13.53365,"South Region"
"Namwala","Zambia",26.433,-15.75,"South Region"
"Nangweshi","Zambia",23.23711,-16.24592,"South Region"
"Kalomo","Zambia",26.475,-16.96,"South Region"
"Luampa","Zambia",24.49237,-15.142329,"South Region"
"Kafue National Park-Tatayoyo","Zambia",24.432,-14.90153,"South Region"
"Copperbelt University","Zambia",28.2374,-12.8061,"South Region"
"Dongwe","Zambia",24.02188,-14.012591,"South Region"
"Mpulungu","Zambia",31.117,-8.773,"South Region"
"Chadiza","Zambia",32.432,-14.06,"South Region"
"GART","Zambia",28.08952,-14.94656,"South Region"
"Babile","Ghana",-2.8353,10.5198,"West Region"
"Tamale","Ghana",-0.8424,9.4034,"West Region"
"Yendi","Ghana",-0.0093,9.445,"West Region"
"Bole","Ghana",-2.4851,9.0322,"West Region"
"Tema",NA,0,5.62,NA
"Accra.KIA","Ghana",-0.17,5.82,"West Region"
"Koforidua","Ghana",-0.17,5.6,"West Region"
"Akatsi","Ghana",-0.25,6.08,"West Region"
"Ho","Ghana",0.8,6.12,"West Region"
"Axim","Ghana",0.47,6.6,"West Region"
"Wenchi","Ghana",-2.23,4.87,"West Region"
"Takoradi","Ghana",-2.1,7.75,"West Region"
"Akim.Oda","Ghana",-1.77,4.88,"West Region"
"Akuse","Ghana",-0.98,5.93,"West Region"
"Nsawam","Ghana",0.12,6.1,"West Region"
"Pokuase","Ghana",-0.28,5.68,"West Region"
"Asamankese","Ghana",-0.67,5.87,"West Region"
"Begoro","Ghana",-0.38,6.38,"West Region"
"Kumasi","Ghana",-1.62,6.69,"West Region"
"Beitbridge","Zimbabwe",30.0029,-22.1989,"South Region"
"Bulawayo_goetz observatory","Zimbabwe",28.6122,-20.1431,"South Region"
"Chiredzi","Zimbabwe",31.5786,-21.008,"South Region"
